SRP356530/LEAVES_D-LEAVES_C	SRP098756/CROWN_D-CROWN_C	SRP098756/LEAVES_D-LEAVES_C	SRP098756/ROOTS_D-ROOTS_C	SRP072216/LEAVES_D-LEAVES_C	SRP072216/LEAVES_D-LEAVES_TABA
TraesCS1A02G197200	-0.602459814718556				-0.791707430853212	0.569159114560884
TraesCS1A02G197300	0.643501220492844					
TraesCS1A02G197600					-0.38239323179312	
TraesCS1A02G197900	1.01750577120977				0.535190449334569	
TraesCS1A02G198100	-0.510428675988216					
TraesCS1A02G198300					-1.23946028739505	
TraesCS1A02G198400						-0.329146563511984
TraesCS1A02G198500					-0.28660301267887	-0.276719378861421
TraesCS1A02G198600					-1.44286173188768	
TraesCS1A02G198800	-2.52884975297592					
TraesCS1A02G199000	-0.794016462862403					
TraesCS1A02G199500	0.290516455472249				-0.323090910754628	
TraesCS1A02G199600	-1.45289686440543					
TraesCS1A02G200000	1.2382001363428					-0.476710772707726
TraesCS1A02G200800					-0.237174349588268	
TraesCS1A02G201300		-2.34867534449559			0.39006724467157	0.548319876806755
TraesCS1A02G201400					0.472780132876952	0.461986906058817
TraesCS1A02G201600	1.12694357538487			1.43817788523449	-0.435804228429829	-0.310669559504408
TraesCS1A02G201700					0.468492313330535	
TraesCS1A02G202000	0.716956327235661					
TraesCS1A02G202100	9.24333646975024					
TraesCS1A02G202300					-0.273323064279644	
TraesCS1A02G203100					0.554005124233694	
TraesCS1A02G203200	-1.22442132950399				0.942019239010474	1.42513420866633
TraesCS1A02G203600	2.39202181851045				-7.57169046800538	-3.70670911609222
TraesCS1A02G203700				-5.37023719006467	-2.68121869573781	
TraesCS1A02G204200	0.358363958796191			2.01681622624976		0.549694551767537
TraesCS1A02G204300						1.14948647711732
